term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Oil Price,The move shakes up the country’s political calculus and its economy  which has been plagued by corruption.,,,The New York Times,3,Angolan Leader Ousts Predecessor’s Daughter as Oil Chief,Angola’s New Leader Ousts Predecessor’s Daughter as Oil Chief in Shake-Up,2017-11-15T22:48:11+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/11/15/business/energy-environment/angola-oil.html,News,,5a0cc43795d0e0246f2160ba
Oil Price,Under shareholder pressure  the European giant said it would halve its greenhouse-gas emissions by 2050 and increase investment in alternative fuels.,,,The New York Times,4,Shell  to Cut Carbon Output  Will Be Less of an Oil Company,Pressured   Shell Vows To Cut Down  On Carbon,2017-11-28T21:34:10+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/11/28/business/energy-environment/shell-carbon-oil.html,News,,5a1dd65f95d0e0246f21904c
Oil Price,The Environmental Protection Agency announced it would not change the rule mandating a rising percentage of ethanol to be blended with gasoline.,,,The New York Times,3,Score One for Corn: In Battle Over Biofuel  a Rare Setback for Big Oil,In Battle Over Biofuels  A Rare Loss for Big Oil,2017-11-30T18:18:03+0000,Climate,,article,https://www.nytimes.com/2017/11/30/climate/trump-ethanol-biofuel.html,News,,5a204b6695d0e0246f219787
Oil Price,Extreme weather is making olive oil production far more erratic just as global demand is growing. A summer heat wave in Europe was the latest calamity.,,,The New York Times,4,How Climate Change Is Playing Havoc With Olive Oil (and Farmers),Climate Change Hits the Olive Industry,2017-10-24T14:31:43+0000,Climate,,article,https://www.nytimes.com/2017/10/24/climate/olive-oil.html,News,,59ef4ed995d0e0246f211cdf
Oil Price,A go-to agent in a lucrative industry that depends on global connections speaks up about allegations that it earned millions through graft.,,,The New York Times,1,Deals in Code  Arrests in Raids: The Risky Stakes of Oil Middlemen,Oil’s Mysterious Middlemen,2017-09-23T09:00:28+0000,SundayBusiness,,article,https://www.nytimes.com/2017/09/23/business/ahsani-middlemen-oil-unaoil.html,News,,59c622b795d0e0246f20bc5d
Oil Price,Regional leaders have long sought to craft an oil and gas policy independent of Baghdad  but the fallout from the recent referendum reveals new liabilities.,,,The New York Times,4,Iraqi Kurds’ Independence Vote Exposed Risks to Energy Strategy,Iraqi Kurds Bet Oil Would Set Them Free  but Output Has Only Dwindled,2017-11-03T10:26:45+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/11/03/business/energy-environment/iraq-kurds-energy-oil.html,News,,59fc447195d0e0246f213c56
Oil Price,The sale would increase Total’s overall production by 160 000 barrels a day in 2018 and make it one of the largest operators of offshore rigs in northwest Europe.,,,The New York Times,4,Total to Buy Maersk’s Oil and Gas Business for $4.95 Billion,French Energy Giant Total To Buy Maersk Oil and Gas,2017-08-21T09:12:26+0000,Business,DealBook,article,https://www.nytimes.com/2017/08/21/business/dealbook/total-maersk-oil-gas.html,News,,599aa40095d0e0246f200b66
Oil Price,The bidding  the first of nine rounds  was considered a test of confidence in government policy as well as the industry’s appetite for exploration.,,,The New York Times,5,Brazil Offshore Oil Drilling Rights Draw Interest at Auction,Keen Interest at Auction  For Brazil’s Offshore Rights,2017-09-27T22:09:12+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/09/27/business/energy-environment/brazil-oil-auction.html,News,,59cc219595d0e0246f20cc4a
Oil Price,President Trump is pushing to increase production on federal lands.,,,The New York Times,17,The Rush to Develop Oil and Gas We Don’t Need,Why the Rush for Oil And Gas?,2017-08-28T07:21:23+0000,OpEd,,article,https://www.nytimes.com/2017/08/28/opinion/trump-oil-public-lands.html,Op-Ed,,59a3c48395d0e0246f201d2d
Oil Price,Senator Lisa Murkowski’s views will take center stage this week in a hearing on opening an Arctic wildlife area to oil drilling.,,,The New York Times,10,An Alaska Senator Wants to Fight Climate Change and Drill for Oil  Too,Alaska Senator Wants to Fight Climate Change  but Drill in Arctic,2017-11-01T09:05:45+0000,Climate,,article,https://www.nytimes.com/2017/11/01/climate/murkowski-alaska-anwr.html,News,,59f9bf6e95d0e0246f2134cc
Oil Price,When oil prices fell  companies scrambled to adjust by cutting jobs and investment. Then they went to work on a far-reaching rethinking of their businesses.,,,The New York Times,1,Oil Companies at Last See Path to Profits After Painful Spell,After Learning to Live Lean  Oil Companies See a Path to Profits,2017-08-01T07:54:31+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/08/01/business/energy-environment/oil-prices-bp-exxon.html,News,,598033bf95d0e0246f1fd6fd
Oil Price,Markets appear to have shrugged off a raft of announcements meant to address concerns that production cuts agreed upon last year are not having an impact.,,,The New York Times,3,At Oil Producers’ Meeting  Tough Talk Fails to Convince Markets,Oil Nations’ Talk of Cuts Fails to Stir The Markets,2017-07-24T17:57:20+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/07/24/business/energy-environment/oil-saudi-russia-opec.html,News,,5976350a95d0e0246f1fc153
Oil Price,The announcement by the world’s two biggest oil exporters means the Organization of the Petroleum Exporting Countries is likely to follow suit next week.,,,The New York Times,1,As Their Clout Wanes  Saudi Arabia and Russia Extend Oil Production Cuts,Price of Crude Soars as Two Oil Giants Agree to Cut Production,2017-05-15T11:23:32+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/05/15/business/energy-environment/saudi-arabia-russia-opec-oil.html,News,,59198fc695d0e024b5870db3
